book_slug,count
38472041-an-enchantment-of-ravens,10
33414849-how-to-make-friends-with-a-ghost,10
34942737-defy-the-worlds,10
43998386-daisy-jones-the-six,10
40911674-freelance-and-business-and-stuff,10
49670670-in-the-dream-house,10
55855380-people-we-meet-on-vacation,10
53275961-the-inheritance-games,10
51007140-house-of-hollow,10
60812536-how-to-keep-house-while-drowning,10
198020155-you-again,10
77783264-a-study-in-drowning,10
59515912-what-my-bones-know,10
60785575-kiss-her-once-for-me,10
58659343-our-wives-under-the-sea,10
60611741-book-lovers,10
60657590-emily-wilde-s-encyclopaedia-of-faeries,10
62062569-be-not-afraid-of-love,10
122210609-where-ivy-dares-to-grow,10
101006013-bright-young-women,10
774088.Difficult_Conversations,10
24831.The_Illustrated_Man,10
2145681.A_Wolf_at_the_Table,10
11721966-good-strategy-bad-strategy,10
13376363-teaching-my-mother-how-to-give-birth,10
18329584-a-tale-for-the-time-being,10
20702053-40-days-of-dating,10
26029105-death,10
29975458-good-as-gone,10
36723245-the-book-of-essie,10
34594981-helium,10
36137561-how-to-not-always-be-working,10
36026827-brotopia,10
44347611-the-flatshare,10
58437898-aquicorn-cove,10
37880811-make-time,10
38721715-the-leader-habit,10
35749708-managing-up,10
40223836-beauty,10
41561905-full-time-you,10
43667395-wordslut,10
43538631-proposals-for-the-feminine-economy,10
53754941-felon,10
57579477-crying-in-h-mart,10
59705167-little-thieves,10
51597146-disfigured,10
51530580-malice,10
44285781-the-guest-list,10
51794301-beyond-the-gender-binary,10
52771369-everybody-else-is-perfect,10
57771340-a-far-wilder-magic,10
55958987-the-office-of-historical-corrections,10
50623378-chinatown-pretty,10
50831779-the-art-of-drag,10
55527575-act-your-age-eve-brown,10
55155120-craft-in-the-real-world,10
58520577-cultish,10
58620170-the-world-gives-way,10
61207289-tomorrow-and-tomorrow-and-tomorrow,10
60021168-as-long-as-the-lemon-trees-grow,10
60028759-the-bodyguard,10
60644542-wash-day-diaries,10
198193014-my-roommate-is-a-vampire,10
124946469-the-nanny,10
63251742-forget-me-not,10
199765505-victorian-faerie-tales,10
42190.Wabi_Sabi,10
507402.Little_Pea,10
1842169.Things_I_Have_Learned_In_My_Life_So_Far,10
34228069-city-of-bones,10
2184511.The_Art_of_Client_Service,10
13574503-the-song-of-achilles,10
14342606-diverse-energies,10
17288649-creative-confidence,10
17920210-what-works-for-women-at-work,10
17999118-a-pleasure-and-a-calling,10
33376821-sweet-bean-paste,10
27846522-everything-i-never-told-you,10
20757433-communication-design,10
26031171-thin-slices-of-anxiety,10
22859551-the-crossroads-of-should-and-must,10
23129839-octavia-s-brood,10
37833025-ice-planet-barbarians,10
25566671-reign-the-earth,10
30318615-when-breath-becomes-air,10
39292851-barbarian-alien,10
41823556-once-upon-a-dream,10
27833542-story-genius,10
59592504-barbarian-s-prize,10
28421799-the-cybernetic-tea-shop,10
28957178-what-s-your-creative-type,10
61853037-barbarian-s-mate,10
29670787-the-midnight-sea,10
28219400-fruits-basket-collector-s-edition-vol-1,10
27406701-tell-the-truth-shame-the-devil,10
30612697-21-ways-to-a-happier-depression,10
30753686-the-moon-and-the-other,10
30231806-goodbye-things,10
37581577-convenience-store-woman,10
35430013-a-thousand-beginnings-and-endings,10
45037050-the-perfect-nanny,10
32805475-save-the-cat-writes-a-novel,10
32955594-things-are-what-you-make-of-them,10
33589860-the-kinfolk-entrepreneur,10
35966885-home-fire,10
33646004-how-to-write-better-copy,10
34014214-emotional-intelligence,10
34014215-happiness,10
166219081-the-guest,10
34078815-the-museum-of-broken-relationships,10
34840092-bingo-love,10
34922266-catboy,10
34974417-the-last-to-see-me,10
35053441-little-black-book,10
35086073-made-in-north-korea,10
54633169-lonely-castle-in-the-mirror,10
45718911-bunny,10
53172244-off-the-clock,10
42271408-the-proposal,10
44171579-maid,10
44824666-the-bride-test,10
41831313-defy-the-fates,10
50192028-how-to-pronounce-knife,10
50160515-heartstopper,10
40855636-how-long-til-black-future-month,10
40672036-digital-minimalism,10
41823536-there-will-come-a-darkness,10
42051523-book-of-ideas,10
48669113-if-i-had-your-face,10
42366547-the-disaster-tourist,10
43387387-find-your-artistic-voice,10
43568394-the-guinevere-deception,10
53207034-beach-read,10
51843883-lakewood,10
53916130-this-close-to-okay,10
57386338-confident-women,10
58657395-the-heart-principle,10
60070267-cursed-princess-club-volume-one,10
34992929-restore-me,10
40132775-house-of-sky-and-breath,10
44019067-the-bromance-book-club,10
58885776-the-dead-romantics,10
127305713-heartless-hunter,10
62334530-none-of-this-is-true,10
6327.The_Witches,10
168668.Catch_22,10
42899.Dark_Lover,10
75513900-powerless,10
35297426-then-she-was-gone,10
8127.Anne_of_Green_Gables,10
227443.Bridget_Jones_s_Diary,10
113946.How_the_Grinch_Stole_Christmas_,10
15768409-the-retribution-of-mara-dyer,10
6149.Beloved,10
65112.The_End,10
26114463-nevernight,10
29236299-gemina,10
31450852-tower-of-dawn,10
35729.Lover_Eternal,10
24280.Les_Mis_rables,10
23513349-milk-and-honey,10
17571564-hyperbole-and-a-half,10
7304203-shadowfever,10
20821614-you,10
9680718-half-blood,10
11808950-sweet-evil,10
10798416-the-statistical-probability-of-love-at-first-sight,10
8685612-the-iron-queen,10
6892870-the-girl-who-kicked-the-hornet-s-nest,10
16000044-rebel-spring,9
16429619-the-kiss-of-deception,9
27366528-beneath-the-sugar-sky,9
10816908-the-crown-of-embers,9
20898019-ms-marvel-vol-1,9
25203675-the-star-touched-queen,9
7801229-the-exiled-queen,9
9409469-the-gray-wolf-throne,9
50398.Northanger_Abbey,9
13642.A_Wizard_of_Earthsea,9
12985.The_Tempest,9
53835.The_Age_of_Innocence,9
102868.A_Study_in_Scarlet,9
378.The_Phantom_Tollbooth,9
19543.Where_the_Wild_Things_Are,9
331920.Flipped,9
51496.Dr_Jekyll_and_Mr_Hyde,9
17699855-chain-of-iron,9
29367958-the-wall-of-winnipeg-and-me,9
41021967-punk-57,9
53344030-heartstopper,9
55648820-seven-days-in-june,9
63133205-the-woman-in-me,9
13541056-queen-of-air-and-darkness,9
1898.Into_Thin_Air,9
22918050-the-heir,9
50892212-these-violent-delights,9
24583.The_Adventures_of_Tom_Sawyer,9
59344312-verity,9
11566.The_Green_Mile,9
71811.Moon_Called,9
113436.Eragon,9
12396528-hollow-city,9
16150831-in-the-afterlight,9
22552026-long-way-down,9
1295102.Lock_and_Key,9
6342491-the-demon-king,9
22840421-my-lady-jane,9
30653853-the-upside-of-unrequited,9
39893545-the-vanishing-stair,9
34076952-the-language-of-thorns,9
12957.Much_Ado_About_Nothing,9
8667848-a-discovery-of-witches,9
17383918-allegiant,9
16081272-the-edge-of-never,9
8709523-the-golden-lily,9
55475477-addicted-for-now,9
27189194-one-true-loves,9
55475442-addicted-to-you,9
60683957-check-mate,9
13449693-the-raven-boys,9
35796008-dance-of-thieves,9
89724.We_Have_Always_Lived_in_the_Castle,9
22232.Stargirl,9
16328.The_Murder_of_Roger_Ackroyd,9
227463.A_Clockwork_Orange,9
12067.Good_Omens,9
15997.Paradise_Lost,9
10664113-a-dance-with-dragons,9
50531218-the-hawthorne-legacy,9
58014893-every-summer-after,9
60060431-things-we-never-got-over,9
50659472-a-court-of-wings-and-ruin,9
36373564-the-simple-wild,9
40024139-serpent-dove,9
58684524-part-of-your-world,9
199797582-the-paradise-problem,9
119324.The_Subtle_Knife,9
15196.Maus_I,9
29780253-born-a-crime,9
58065033-lessons-in-chemistry,9
305234.Wicked_Lovely,9
9943270-dark-triumph,9
16102004-beautiful-bastard,9
53138099-finlay-donovan-is-killing-it,9
52656911-the-guest-list,9
39338454-the-bride-test,9
24044596-kulti,9
6411433-the-picture-of-dorian-gray,9
15863832-angelfall,9
23264671-godsgrave,9
25985241-before-the-devil-breaks-you,9
10644930-11-22-63,9
5664985-along-for-the-ride,9
43763.Interview_with_the_Vampire,9
16056408-easy,9
2702704-faefever,9
8525590-wither,9
344262.Bloodfever,9
4268157-perfect-chemistry,9
1421990.Halfway_to_the_Grave,9
5287473-hex-hall,9
11366397-the-program,9
2800905-the-summoning,9
13514612-all-our-yesterdays,9
11988046-pivot-point,9
33722.The_Undomestic_Goddess,9
112750.Darkfever,9
7719245-paranormalcy,9
5043.The_Pillars_of_the_Earth,9
6547259-the-hero-of-ages,8
16793.Stardust,8
17465574-blue-is-the-warmest-color,8
17342700-gathering-darkness,8
20299683-rat-queens-vol-1,8
50892338-legendborn,8
6547260-the-well-of-ascension,8
